id,name,ra_deg,dec_deg,mag
4801,HIP 4801,15.411015,-16.265573,6.47
4829,Ome Phe,15.507570,-57.002389,6.12
4844,HIP 4844,15.576945,51.034938,6.48
4852,Sig Scl,15.610110,-31.552005,5.50
4879,HIP 4879,15.678750,-65.456102,6.25
4889,69Sig Psc,15.704565,31.804263,5.50
4890,HIP 4890,15.704955,-46.397311,5.39
4903,39    And,15.726105,41.345157,5.95
4906,71Eps Psc,15.735870,7.890135,4.27
4911,HIP 4911,15.756345,47.376158,6.46
4914,25    Cet,15.760575,-4.836601,5.40
4932,HIP 4932,15.823770,-29.525848,6.28
4962,HIP 4962,15.904200,61.074823,5.92
4979,26    Cet,15.954285,1.366846,6.06
4998,HIP 4998,16.009950,52.502161,5.99
5021,HIP 5021,16.081260,61.580184,5.83
5034,HIP 5034,16.115085,29.658806,6.20
5042,HIP 5042,16.135755,-33.532845,6.44
5074,73    Psc,16.219320,5.656262,6.03
5081,72    Psc,16.272315,14.946133,5.64
5121,27    Cet,16.403685,-9.979323,6.09
5131,74Psi1Psc,16.420635,21.473181,5.33
5132,74Psi1Psc,16.423785,21.465442,5.55
5141,77    Psc,16.455120,4.908372,6.35
5164,28    Cet,16.521450,-9.839354,5.58
5165,Bet Phe,16.521105,-46.718414,3.32
5170,HIP 5170,16.532115,-23.992451,6.12
5175,HIP 5175,16.546665,32.181485,6.28
5204,75    Psc,16.640115,12.956039,6.14
5240,HIP 5240,16.750530,56.934972,6.41
5251,HIP 5251,16.789380,53.498185,6.31
5259,HIP 5259,16.803825,-23.996334,6.36
5268,Iot Tuc,16.827570,-61.775289,5.36
5296,30    Cet,16.942530,-9.785550,5.71
5300,Ups Phe,16.949355,-41.486916,5.21
5310,79Psi2Psc,16.988160,20.739113,5.56
5315,HIP 5315,16.998600,1.993042,6.44
5317,41    And,17.003385,43.942092,5.04
5319,78    Psc,17.005515,32.012130,6.23
5336,30Mu  Cas,17.062155,54.920340,5.17
5346,80    Psc,17.092500,5.649819,5.51
5348,Wurren,17.096130,-55.245760,3.94
5361,HIP 5361,17.139405,58.263449,5.77
5364,31Eta Cet,17.147460,-10.182264,3.46
5372,HIP 5372,17.184195,86.257090,4.24
5412,HIP 5412,17.301150,80.011579,6.24
5434,42Phi And,17.375520,47.241792,4.26
5447,Mirach,17.432910,35.620558,2.07
5454,81Psi3Psc,17.455005,19.658408,5.57
5477,HIP 5477,17.530725,-57.694419,6.41
5483,HIP 5483,17.547675,15.673912,6.07
5485,32    Cet,17.549775,-8.906135,6.40
5493,44    And,17.578200,42.081475,5.67
5494,HIP 5494,17.581050,25.457763,5.81
5510,33    Cet,17.639805,2.445670,5.97
5518,31    Cas,17.663685,68.778621,5.32
5542,33The Cas,17.775255,55.149901,4.34
5544,82    Psc,17.778195,31.424736,5.15
5550,45    And,17.792835,37.724121,5.80
5566,HIP 5566,17.856420,64.202677,5.56
5571,84Chi Psc,17.863410,21.034650,4.66
5575,HIP 5575,17.870715,10.291908,6.49
5586,83Tau Psc,17.915130,30.089638,4.51
5589,32    Cas,17.922435,65.018854,5.57
5594,34    Cet,17.931285,-2.251079,5.93
5626,HIP 5626,18.069015,79.673963,5.60
5650,HIP 5650,18.141975,45.337531,6.13
5661,HIP 5661,18.189240,-37.856479,5.95
5679,HIP 5679,18.247800,30.064229,6.24
5688,HIP 5688,18.290970,61.706188,6.40
5737,Revati,18.432855,7.575354,5.21
5742,85Phi Psc,18.437280,24.583713,4.67
5743,Revati B,18.438600,7.578261,6.44
5772,HIP 5772,18.520425,28.529575,6.33
5778,87    Psc,18.531795,16.133479,5.97
5799,37    Cet,18.600165,-7.922826,5.14
5824,88    Psc,18.676635,6.995136,6.04
5833,38    Cet,18.704880,-0.973795,5.70
5862,Nu  Phe,18.795645,-45.531664,4.97
5896,Kap Tuc,18.940560,-68.875927,4.25
5926,HIP 5926,19.049580,71.743842,5.87
5928,HIP 5928,19.052640,87.145496,6.20
5936,HIP 5936,19.078830,33.114720,6.04
5947,HIP 5947,19.129215,79.910013,6.27
5951,39    Cet,19.151205,-2.500368,5.42
5992,HIP 5992,19.265460,-66.397854,6.23
5993,HIP 5993,19.271085,44.901992,6.11
6025,HIP 6025,19.350495,31.744617,6.36
6061,89    Psc,19.449810,3.614466,5.13
6087,HIP 6087,19.542270,47.419706,6.29
6093,HIP 6093,19.557870,57.803166,6.39
6140,HIP 6140,19.695870,37.386275,6.44
6193,90Ups Psc,19.866645,27.264059,4.74
6226,42    Cet,19.951230,-0.509029,5.87
6242,34Phi Cas,20.020485,58.231611,4.95
6261,HIP 6261,20.080995,77.570682,6.31
6272,HIP 6272,20.115870,-11.238999,6.16
6283,HIP 6283,20.144055,-3.246990,6.26
6312,35    Cas,20.271750,64.658131,6.33
6315,91    Psc,20.280705,28.738207,5.23
6378,HIP 6378,20.495745,76.238804,6.37
6411,Adhil,20.585055,45.528778,4.87
6427,HIP 6427,20.627010,-19.081208,6.35
6429,43    Cet,20.645130,-0.449673,6.50
6432,HIP 6432,20.653965,1.726332,6.21
6486,HIP 6486,20.838960,58.142994,6.36
6492,HIP 6492,20.853960,20.468967,5.97
6502,HIP 6502,20.878995,-30.945617,5.84
6512,HIP 6512,20.906025,34.245887,6.28
6514,47    And,20.919180,37.714943,5.60
6522,HIP 6522,20.945055,78.726056,6.07
6537,45The Cet,21.005850,-8.183257,3.60
6539,44    Cet,21.010575,-8.007416,6.21
6564,HIP 6564,21.085425,-6.914656,5.92
6589,HIP 6589,21.166380,-15.660468,6.17
6592,HIP 6592,21.169935,-41.492549,5.42
6595,HIP 6595,21.174660,-44.528575,6.26
6605,HIP 6605,21.202830,-2.848590,6.17
6631,HIP 6631,21.272040,-64.369478,5.92
6669,HIP 6669,21.398655,23.511519,6.18
6670,46    Cet,21.405135,-14.598796,4.90
6685,HIP 6685,21.442950,70.979887,6.34
6686,Ruchbah,21.453240,60.235283,2.66
6687,HIP 6687,21.468180,-3.927391,6.50
6692,36Psi Cas,21.483120,68.130012,4.72
6702,HIP 6702,21.536475,34.579700,6.34
6706,93Rho Psc,21.563595,19.172346,5.35
6711,HIP 6711,21.577755,43.457739,5.98
6714,HIP 6714,21.598305,20.070804,6.44
6717,HIP 6717,21.613950,-0.399034,6.42
6732,94    Psc,21.673650,19.240422,5.50
6748,47    Cet,21.714855,-13.056512,5.51
6776,HIP 6776,21.776280,34.377552,6.27
6789,HIP 6789,21.847125,-22.338232,6.43
6794,HIP 6794,21.861135,41.101158,6.42
6813,48Ome And,21.913725,45.406687,4.83
6822,HIP 6822,21.943920,-10.901582,6.13
6867,Gam Phe,22.091385,-43.318234,3.41
6868,HIP 6868,22.095480,7.961353,6.22
6952,HIP 6952,22.377240,-46.756422,6.25
6960,48    Cet,22.400550,-21.629339,5.11
6971,HIP 6971,22.428390,-25.617749,6.37
6981,97    Psc,22.470255,18.355669,6.01
6999,49    And,22.525425,47.007274,5.27
7007,98Mu  Psc,22.546305,6.143820,4.84
7016,HIP 7016,22.595430,-26.207851,5.92
7050,HIP 7050,22.716900,66.098087,6.15
7078,38    Cas,22.806660,70.264604,5.82
7083,Del Phe,22.812765,-49.072702,3.93
7097,Alpherg,22.870875,15.345823,3.62
7115,HIP 7115,22.912530,-45.575712,6.17
7118,HIP 7118,22.930200,-30.283081,5.79
7147,HIP 7147,23.031570,34.799962,6.39
7189,HIP 7189,23.151570,-49.727713,6.27
7213,HIP 7213,23.233545,-36.865231,5.49
7243,HIP 7243,23.326155,8.208738,6.31
7251,HIP 7251,23.357130,58.327334,5.69
7271,HIP 7271,23.413515,-78.504820,6.11
7276,HIP 7276,23.428485,-7.025341,5.75
7283,HIP 7283,23.452305,89.015639,6.46
7294,39Chi Cas,23.482920,59.232040,4.68
7321,HIP 7321,23.569185,37.237146,5.90
7345,49    Cet,23.657400,-15.676359,5.62
7359,HIP 7359,23.704440,18.460512,5.90
7361,HIP 7361,23.711625,-31.892317,6.11
7362,HIP 7362,23.713830,-3.523889,6.44
7363,HIP 7363,23.714880,-23.699681,6.41
7387,HIP 7387,23.811975,-58.139475,6.03
7436,101    Psc,23.943510,14.661422,6.23
7443,HIP 7443,23.960730,-39.947126,6.43
7444,HIP 7444,23.968950,41.076420,6.39
7447,HIP 7447,23.978130,17.433841,5.95
7450,50    Cet,23.995695,-15.400183,5.41
7463,Tau Scl,24.035415,-29.907317,5.69
7493,HIP 7493,24.113355,48.722776,6.20
7505,HIP 7505,24.181365,7.831529,6.39
7506,HIP 7506,24.186600,-58.270966,6.18
7513,Titawin,24.199485,41.405459,4.10
7535,102Pi  Psc,24.274650,12.141535,5.54
7568,HIP 7568,24.365835,-84.769593,5.66
7580,HIP 7580,24.407100,-9.403782,6.24
7588,Achernar,24.428340,-57.236757,0.45
7593,HIP 7593,24.446670,64.739357,6.49
7597,HIP 7597,24.466950,-3.440678,6.43
7601,HIP 7601,24.479385,-82.974995,5.88
7607,Nembus,24.498075,48.628213,3.59
7617,HIP 7617,24.531525,57.977631,5.55
7643,HIP 7643,24.614520,-36.528251,5.94
7650,40    Cas,24.628890,73.040040,5.28
7651,HIP 7651,24.632610,45.399706,6.38
7679,HIP 7679,24.715770,-21.275384,5.58
7719,52Chi And,24.837525,44.386165,5.01
7740,105    Psc,24.920070,16.405858,5.98
7751,p Eridani,24.947535,-56.196400,5.76
7786,HIP 7786,25.054620,53.868278,6.35
7818,53Tau And,25.145055,40.577049,4.96
7819,HIP 7819,25.145520,8.760769,6.34
7825,HIP 7825,25.165110,43.297687,5.63
7874,HIP 7874,25.326525,25.745712,6.20
7879,Tau1Hyi,25.338840,-79.148200,6.33
7884,106Nu  Psc,25.357890,5.487613,4.45
7886,HIP 7886,25.363800,-38.132827,6.20
7906,HIP 7906,25.413495,30.047120,5.97
7916,HIP 7916,25.436805,-11.324669,5.75
7918,HIP 7918,25.445745,42.613369,4.96
7921,HIP 7921,25.449825,-60.789339,5.70
7941,HIP 7941,25.512495,-36.832305,5.70
